relative_path,role,source_path_or_generation,source_exists,size_bytes,sha256,release_note
code/extracted_vba/AUTOMAT.vba.txt,extracted VBA/XLM text from AUTOMAT.XLS,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/AUTOMAT.XLS,yes,4703,8692ccd53d5395dc5e49e966162e64bc01eb203893e25d2abcd724c93da8b2cf,include as package asset
code/extracted_vba/Example.vba.txt,extracted VBA/XLM text from Example.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/Example.xls,yes,4703,0a61fa23f48ed35734bd5ed68be47afe1654a13f503f9422f5ed3c0cf84db448,include as package asset
code/extracted_vba/market2.1.vba.txt,extracted VBA/XLM text from market2.1.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/market2.1.xls,yes,24857,ed4b7b66ed41203f6a11ea1ff4dc835bdc558fb9c72aa7aedf0f0c44071f5d36,include as package asset
code/modernized/AUTOMAT.xlsx,LibreOffice .xlsx conversion of AUTOMAT.XLS for inspection,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/AUTOMAT.XLS,yes,356426,dc954775ff4347ade26e1e54be770fd1343f6062df24f765e664e15c13f1b157,include as package asset
code/modernized/Example.xlsx,LibreOffice .xlsx conversion of Example.xls for inspection,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/Example.xls,yes,352360,005c4a0593054eeaf57c11e3cd2b2f359fbad21d8ba161ff194c72fd878ac7fd,include as package asset
code/modernized/SampleEnumeration.xlsx,LibreOffice .xlsx conversion of SampleEnumeration.xls for inspection,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/SampleEnumeration.xls,yes,51534,6bd641fee68216eda08c6407fd2d7237ba2d50853c18d542294b997ed7e1d635,include as package asset
code/modernized/logittest.xlsx,LibreOffice .xlsx conversion of logittest.xls for inspection,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/logittest.xls,yes,55495,3bd39f04d2a2e52b7eba31ab9a3841e11709ec059bc53167d0aa2afe82ac69f7,include as package asset
code/modernized/market2.1.xlsx,LibreOffice .xlsx conversion of market2.1.xls for inspection,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/code/original/market2.1.xls,yes,525542,b9309cf0cc66e36c648f36985da5a419940ea055775aa0fe425d54e6117635c2,include as package asset
code/original/AUTOMAT.XLS,base Electronic Toll Collection cost-benefit model workbook referenced by the manual,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/BC-ETC-UsersManual/AUTOMAT.XLS,yes,461312,37792dd739194861ff636d8c926ec22f11359b607f49f109fbc11d0a2aaca3af,include as package asset
code/original/Example.xls,example model workbook distributed with the user manual,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/BC-ETC-UsersManual/Example.xls,yes,461312,91a5079850989e22672ec2107a191e80a96601ae459585e1d9a92f02249b9787,include as package asset
code/original/SampleEnumeration.xls,enumeration/sensitivity workbook for value-of-time and alternative-specific-constant scenarios,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/SampleEnumeration.xls,yes,116736,7a6652e87275190324ff39bca47582aa349d737bffbbbf08e5d5fca33ac8534c,include as package asset
code/original/logittest.xls,payment-choice/logit test workbook for ETC share calculations,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/logittest.xls,yes,125440,83e520ddb8b1b1d4245d025c4df63dc91e85a354c3fa639adeba54a549dfa674,include as package asset
code/original/market2.1.xls,paper-specific ETC lane/payment welfare model workbook with Carquinez application sheets,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/market2.1.xls,yes,735232,2feabba7e9792b6f912f7bc3f545da5e628ade8ac91f4a9609c4ad13c8e07f00,include as package asset
data/modernized/CarquinToll.xlsx,LibreOffice .xlsx conversion of CarquinToll.xls for inspection,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-04-a-model-for-optimizing-electronic-toll-collection-systems/data/original/CarquinToll.xls,yes,20873,5bb59149f16c2f1367c458b4fdd9c993468440fa1a224e942f19e07ee1cb2a2e,include as package asset
data/original/CarquinToll.xls,Carquinez Bridge traffic-count input workbook,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/CarquinToll.xls,yes,34816,19e1aabc1a1006ce0e54656f02dec874b623fb98d9d311f793d341243e30910a,include as package asset
documentation/BC-ETC-UsersManual.pdf,user manual for the computerized ETC benefit-cost model,/Users/dlev2617/Documents/Data/~Nexus_Data/~PATH/PATH-ETC/BC-ETC-UsersManual/BC-ETC-UsersManual.pdf,yes,2630753,abce5b6f5e40d8287e488dfbc92f28ab4781cc5972d64a455a4bff6b09d36633,include as package asset
